key,English
perkMoreStaminaRank1LongDesc,Tired of always needing to stop to catch your breath? Well you came to the right place. With this skill you can learn how to do quite the opposite. You will be able to go even longer without needing to sit and recharge. This is especially useful in battle. [5ACCE5]No Refunds unless you use something that allows you to completely respec yourself.[-],


medicalAdvFirstAidBandage,Adv First Aid Bandage

medicalAdvFirstAidKit,Adv First Aid Kit



loadingTipFireBad,"If you are on fire, do not try to put it out by dousing yourself with flammable liquids."
loadingTipFireBad_title,Fire is bad,
loadingTipGasoline,"Gasoline is used to fuel generators, motor tools, and motorized vehicles.\nDo not drink gasoline."
loadingTipGasoline_title,Gasoline



TwitchAction_SpawnHornetCommand,"#Spawn_Hornet"
TwitchAction_SpawnHornet,"Hornet"
TwitchAction_SpawnHornetDesc,"Spawns a Hornet."

TwitchAction_SpawnHornetGroupCommand,"#Spawn_HornetGroup"
TwitchAction_SpawnHornetGroup,"Hornet Group"
TwitchAction_SpawnHornetGroupDesc,"Spawns a group of Hornet."

TwitchAction_SpawnHornetHordeCommand,"#Spawn_HornetHorde"
TwitchAction_SpawnHornetHorde,"Hornet Horde"
TwitchAction_SpawnHornetHordeDesc,"Spawns a Horde of Hornets."

CraftingAmmoName,Ammo
Ammo57mmBullet,57mm Ammo
Ammo57mmBulletHP,HP 57mm Ammo
Ammo57mmBulletAP,AP 57mm Ammo
ammo45ACPBulletBall,45 ACP
ammo45ACPBulletHP,HP 45 ACP
ammo45ACPBulletAP,AP 45 ACP
Ammo50CalBullet,50 CAL
Ammo50CalBulletHP,HP 50 CAL
Ammo50CalBulletAP,AP 50 CAL
ammoShotgunShellFlechette,Flechette Shotgun Shell

ammoBundle45ACPBullet,Box of 45 ACP
ammoBundle45ACPBulletHP,Box of HP 45 ACP
ammoBundle45ACPBulletAP,Box of AP 45 ACP
ammoBundle57mmBullet,Box of 57mm ACP
ammoBundle57mmBulletHP,Box of HP 57mm ACP
ammoBundle57mmBulletAP,Box of AP 57mm ACP
ammoBundle50CalBullet,Box of 50 CAL
ammoBundle50CalBulletHP,Box of HP 50 CAL
ammoBundle50CalBulletAP,Box of AP 50 CAL
ammoBundleShotgunShellFlechette,Box of Flechette Shotgun Shell



perkEnforcerAPAmmoDesc,Gain 20% more experience while using a 44 Magnum.,
perkEnforcerAPAmmoLongDesc,Gain 20% more experience while using a 44 Magnum.,
perkEnforcerHPAmmoDesc,Increased 44 mag ammo in loot.,
perkEnforcerHPAmmoLongDesc,Increased 44 mag ammo in loot,
perkEnforcerCompleteDesc,All shots with .44 ammo penetrate enemies.,
perkEnforcerCompleteLongDesc,All shots with .44 ammo penetrate enemies.,
perkPistolPeteHPAmmoDesc,Increase experience gain by 20% while using 9mm guns.,
perkPistolPeteHPAmmoLongDesc,Increase experience gain by 20% while using 9mm guns.,
perkPistolPeteAPAmmoDesc,Increase 9mm ammo in loot.,
perkPistolPeteAPAmmoLongDesc,Increase 9mm ammo in loot.,
perkPistolPeteCompleteDesc,Shots fired at point blank ignore armor.,
perkPistolPeteCompleteLongDesc,Shots fired at point blank ignore armor.,
perkRangersExplodingBoltsDesc,Gain 20% more experience while using bows/crossbows.,
perkRangersExplodingBoltsLongDesc,Gain 20% more experience while using bows/crossbows.,
perkRangersAPAmmoDesc,Increase arrow and bolts in loot.,
perkRangersAPAmmoLongDesc,Increase arrow and bolts in loot.,
perkRangersFlamingArrowsDesc,Learn how to craft a Arrow Rest Mod and a Polymer String Mod.,
perkRangersFlamingArrowsLongDesc,Learn how to craft a Arrow Rest Mod and a Polymer String Mod.,
perkRangersCompleteDesc,Adds bleed chance to enemies while using bows or crossbows.,
perkRangersCompleteLongDesc,Adds bleed chance to enemies while using bows or crossbows.,
perkShotgunMessiahBreachingSlugsDesc,Increase experience gain by 20% while using shotguns.,
perkShotgunMessiahBreachingSlugsLongDesc,Increase experience gain by 20% while using shotguns.,
perkShotgunMessiahSlugsDesc,Increase shotgun ammuntion in loot.,
perkShotgunMessiahSlugsLongDesc,Increase shotgun ammuntion in loot.,
perkShotgunMessiahCompleteDesc,Increased entity damage by 30% while using shotguns.,
perkShotgunMessiahCompleteLongDesc,Increased entity damage by 30% while using shotguns.,
perkSniperAPAmmoDesc,Increase experience gain by 20% while using rifles.,
perkSniperAPAmmoLongDesc,Increase experience gain by 20% while using rifles.,
perkSniperHPAmmoDesc,Increase 7.62mm ammunition in loot.,
perkSniperHPAmmoLongDesc,Increase 7.62mm ammunition in loot.,
perkSniperCompleteDesc,Increased entity damage by 30% while using rifles.,
perkSniperCompleteLongDesc,Increased entity damage by 30% while using rifles.,


WorkingAirConditioner,Working AirConditioner
WorkingAirConditionerDesc,Working AirConditioner to reduce the heat


resourceEmptyVapeBundle,"Empty Vape Bundle"

toolBellowsDesc,,"A tool that can be installed in a forge. It increases air flow and so the crafting 
speed of the forge."
statCraftingSmeltTime,ui_display,Item stat,,Forge Crafting Speed


animalExplodingZombieDog,"Exploding Zombie Dog"
animalExplodingDireWolf,"Exploding Dire Wolf"
animalChihuahua,"Chihuahua"
animalFeralHouseCat,"Feral House Cat"
animalAnacondaSnake,"Anaconda"
animalPainStag,"Stag"
animalMiniBossGrace,"Mini Grace"
animalPainDoe,"Doe"
animalalphaBear,"Alpha Bear"
animalRageChicken,"Rage Chicken"
zombieTickleMeDemo,Tickle Me Demo
zombieFatCopFlamin,"Flamin Cop"
animalBattleWolf,"Battle Wolf"
animalChihuahua,"Zombified Chihuahua"
animalAlphaBear,"Alpha Bear"
animalFriendlyChihuahua,"Zombified Chihuahua"

seedsT3-1,Tier 3: Bell Pepper,
seedsT3-2,Tier 3: Cabbage,
seedsT3-3,Tier 3: Cantaloupe,
seedsT3-4,Tier 3: Chili Pepper,
seedsT3-5,Tier 3: Eggplant,

seedsT4-1,Tier 4: Grapes,
seedsT4-2,Tier 4: Leek,
seedsT4-3,Tier 4: Strawberry,
seedsT4-4,Tier 4: Onion,
seedsT4-5,Tier 4: Wheat,


antivenom,"Anti-venom"
antivenomDesc,"Use this to instantly remove the effects of venom.\n\nCan be crafted at the campfire, in a cooking pot, or use a beaker to save on ingredients."
buffPoisonedDesc,"You're envenomed. Your attributes are lowered by one, and you are slowly taking damage.\n\nYou'll want some antivenom, and fast."
buffPoisonedName,Envenomed!
venomDesc,"Key ingredient for antivenom."

animalCottonMouth,Cotton Mouth

PickleRickTooltip."You Just Got Pickeled By Pickle Rick BITCH!!!"
PickleRick,Pickle Rick
buffBrainDrainName,"Brain Drain"
buffBrainDrainDesc,"Removes all perks and reset base health."

BananaRick,"Banana Rick"

xuiChallenge,"Shrader971's Challenge's"

challengeGroupAdvancedHunter,"Advanced Hunter"
challengeRewardBonusAdvancedHunterReward,"Advanced Hunter Reward"

challengeGroupAdvancedFarmer,"Advanced Farmer"
challengeRewardBonusAdvancedFarmerReward,"Advanced Farmer Reward"

challengeGroupAdvancedGatherer,"Advanced Gatherer"
challengeRewardBonusAdvancedGathererReward,"Advanced Gatherer Reward"

challengeGroupAdvancedCrafting,"Advanced Crafting"
challengeRewardBonusAdvancedCraftingReward,"Advanced Crafting Reward"

challengeGroupAdvancedZombieSlayer,"Advanced Zombie Slayer"
challengeRewardBonusAdvancedSlayerReward,"Advanced Zombie Slayer Reward"

challengeGroupEliteZombieSlayer,"Elite Zombie Slayer"
challengeRewardBonusEliteSlayerReward,"Elite Zombie Slayer Reward"

plantedBellPepper1,"Bell Pepper (Seed)"

plantedBellPepper2,"Bell Pepper (Growing)"

plantedBellPepper3Harvest,

plantedBellPepper3HarvestPlayer,
plantedBellPepper3HarvestDesc,"Bell Pepper"

plantedCabbage1,"Cabbage (Seed)"

plantedCabbage2,"Cabbage (Growing)"

plantedCabbage3Harvest,

plantedCabbage3HarvestPlayer,
plantedCabbage3HarvestDesc,"Cabbage"

plantedCantaloupe1,"Cantaloupe (Seed)"

plantedCantaloupe2,"Cantaloupe (Growing)"

plantedCantaloupe3Harvest,

plantedCantaloupe3HarvestPlayer,
plantedCantaloupe3HarvestDesc,"Cantaloupe"

plantedChiliPepper1,"Chili Pepper (Seed)"

plantedChiliPepper2,"Chili Pepper (Growing)"

plantedChiliPepper3Harvest,

plantedChiliPepper3HarvestPlayer,
plantedChiliPepper3HarvestDesc,"Chili Pepper"

plantedEggplant1,"Egg Plant (Seed)"

plantedEggplant2,"Egg Plant (Growing)"

plantedEggplant3HarvestPlayer,
plantedEggplant3HarvestDesc,"Egg Plant"

plantedGarlic1,"Garlic (Seed)"

plantedGarlic2,"Garlic (Growing)"

plantedGarlic3Harvest,

plantedGarlic3HarvestPlayer,
plantedGarlic3HarvestDesc,"Garlic"

plantedGrapes1,"Grape (Seed)"

plantedGrapes2,"Grape (Growing)"

plantedGrapes3Harvest,

plantedGrapes3HarvestPlayer,
plantedGrapes3HarvestDesc,"Grape"

plantedLeek1,"Leek (Seed)"

plantedLeek2,"Leek (Growing)"

plantedLeek3Harvest,

plantedLeek3HarvestPlayer,
plantedLeek3HarvestDesc,"Leek"

plantedOnion1,"Onion (Seed)"

plantedOnion2,"Onion (Growing)"

plantedOnion3Harvest,

plantedOnion3HarvestPlayer,
plantedOnion3HarvestDesc,"Onion"

plantedStrawberry1,"Strawberry (Seed)"

plantedStrawberry2,"Strawberry (Growing)"

plantedStrawberry3Harvest,

plantedStrawberry3HarvestPlayer,
plantedStrawberry3HarvestDesc,"Strawberry"

plantedTomato1,"Tomato (Seed)"

plantedTomato2,"Tomato (Growing)"

plantedTomato3Harvest,

plantedTomato3HarvestPlayer,
plantedTomato3HarvestDesc,"Tomato"

plantedWheat1,"Wheat (Seed)"

plantedWheat2,"Wheat (Growing)"

plantedWheat3Harvest,

plantedWheat3HarvestPlayer,
plantedWheat3HarvestDesc,"Wheat"


challengeKillExplodingZombieDog,Kill Exploding Zombie Dogs.
challengeKillExplodingZombieDogShort,Kill some Exploding Zombie Dogs.
challengeKillExplodingZombieDogDesc,[DECEA3]Exploding Zombie Dogs [-]

challengeKillExplodingDireWolf,Kill Exploding Dire Wolf.
challengeKillExplodingDireWolfShort,Kill some Exploding Dire Wolf.
challengeKillExplodingDireWolfDesc,[DECEA3]Exploding Dire Wolf [-]

challengeKillChihuahua,Kill Zombified Chihuahuas.
challengeKillChihuahuaShort,Kill some Zombified Chihuahuas.
challengeKillChihuahuaDesc,[DECEA3]Zombified Chihuahuas [-]

challengeKillMiniBossGrace,Kill Mini Graces.
challengeKillMiniBossGraceShort,Kill some Mini Graces
challengeKillMiniBossGraceDesc,[DECEA3]Mini Grace [-]

challengeKillCottonMouth,Kill Cotton Mouth
challengeKillCottonMouthShort,Kill some Cotton Mouths
challengeKillCottonMouthDesc,[DECEA3]Cotton Mouths [-]

challengeKillPainDeers,Kill Pain Deer
challengeKillPainDeersShort,Kill some Pain Deer
challengeKillPainDeersDesc,[DECEA3] Pain Deer [-]

challengeKillAnaconda,Kill Anaconda
challengeKillAnacondaShort,Kill some Anacondas
challengeKillAnacondaDesc,[DECEA3] Anaconda [-]

challengeKillFeralHouseCats,Kill Feral House Cats
challengeKillFeralHouseCatsShort,Kill some Feral House Cats
challengeKillFeralHouseCatsDesc,[DECEA3] Feral House Cat [-]

challengeKillAlphaBears,Kill Alpha Bears
challengeKillAlphaBearsShort,Kill some Alpha Bears
challengeKillAlphaBearsDesc,[DECEA3] Alpha Bears [-]

challengeHuntSpecialAnimals,Kill Special Animals
challengeSpecialHuntAnimalsShort,Kill some Special Animals
challengeHuntSpecialAnimalsDesc,[DECEA3] Hunt Special Animals [-]

challengeFarmingBellPepper,Farming Bell Pepper
challengeFarmingBellPepperShort,Harvest some Bell Peppers
challengeFarmingBellPepperDesc,[DECEA3] Bell Pepper [-]

challengeFarmingCabbage,Farming Cabbage
challengeFarmingCabbageShort,Harvest some Cabbages
challengeFarmingCabbageDesc,[DECEA3] Cabbages [-]

challengeFarmingCantaloupe,Farming Cantaloupe
challengeFarmingCantaloupeShort,Harvest some Cantaloupes
challengeFarmingCantaloupeDesc,[DECEA3] Cantaloupes [-]

challengeFarmingChiliPepper,Farming Chili Pepper
challengeFarmingChiliPepperShort,Harvest some Chili Peppers
challengeFarmingChiliPepperDesc,[DECEA3] Chili Peppers [-]

challengeFarmingEggplant,Farming Eggplant
challengeFarmingEggplantShort,Harvest some Eggplants
challengeFarmingEggplantDesc,[DECEA3] Eggplant [-]

challengeFarmingStrawberry,Farming Strawberry
challengeFarmingStrawberryShort,Harvest some Strawberrys
challengeFarmingStrawberryDesc[DECEA3] Strawberry [-]

challengeFarmingGarlic,Farming Garlic
challengeFarmingGarlicShort,Harvest some Garlics
challengeFarmingGarlicDesc,[DECEA3] Garlic [-]

challengeFarmingGrapes,Farming Grapes 
challengeFarmingGrapesShort,Harvest some Grapes
challengeFarmingGrapesDesc,[DECEA3] Grapes [-]

challengeFarmingLeek,Farming Leek
challengeFarmingLeekShort,Harvest some Leeks
challengeFarmingLeekDesc,[DECEA3] Leek [-]

challengeFarmingOnion,Farming Onion
challengeFarmingOnionShort,Harvest some Onions
challengeFarmingOnionDesc,[DECEA3] Onion [-]


challengeGathererTitanium,Gather Titanium
challengeGathererTitaniumShort,[DECEA3] Titanium [-]
challengeGathererTitaniumDesc,Gather some Titanium

challengeGathererCopper,Gather Copper
challengeGathererCopperShort,[DECEA3] Copper [-]
challengeGathererCopperDesc,Gather some Copper

challengeGathererZinc,Gather Zinc 
challengeGathererZincShort,[DECEA3] Zinc [-]
challengeGathererZincDesc,Gather some Zinc


challengePlaceAdvForge,Place Advanced Forge
challengePlaceAdvForgeShort,"[DECEA3]Advanced Forge[-]
challengePlaceAdvForgeDesc,Place a Advanced Forge

challengePlaceBenchtopLathe,Place Benchtop Lathe
challengePlaceBenchtopLatheShort,"[DECEA3]Benchtop Lathe[-]
challengePlaceBenchtopLatheDesc,Place a Benchtop Lathe

challengeCraftForgedTitanium,Craft Forged Titanium
challengeCraftForgedTitaniumShort,"To use the [DECEA3]Forge[-]"
challengeCraftForgedTitaniumDesc,Craft some Forged Titanium in the Forge.

challengePlaceAmmoBench,Place Ammo Bench
challengePlaceAmmoBenchShort,[DECEA3]Ammo Bench[-]
challengePlaceAmmoBenchDesc,Place a Ammo Bench

challengeCraftAdvGrenadeContact,Craft Advanced Contant Grenades
challengeCraftAdvGrenadeContactShort,"[DECEA3]Advanced Contant Grenades[-] are a type of thrown [DECEA3]Explosive[-] 
challengeCraftAdvGrenadeContactDesc,Craft 50 Advanced Contant Grenades.

challengeCraftAdvGrenade,Craft Advanced Grenades.
challengeCraftAdvGrenadeShort,"[DECEA3]Pipe Bombs[-] are a type of thrown [DECEA3]Explosive[-] 
challengeCraftAdvGrenadeDesc,Craft 50 Advanced Grenades.


challengeCraftStainLessSteelPolish,Craft Stainless Steel Polish
challengeCraftStainLessSteelPolishShort,"[DECEA3]Advanced Grenades[-]"
challengeCraftStainLessSteelPolishDesc,Craft 1000 Stainless Steel Polish

meleeWpnBatonT3LazerBaton,"Loveshack's Lazer Baton"





